country,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,year
Finland,Western Europe,7.632,1.305,1.592,0.874,0.681,0.202,0.393,2018
Norway,Western Europe,7.594,1.456,1.582,0.861,0.686,0.286,0.34,2018
Denmark,Western Europe,7.555,1.351,1.59,0.868,0.683,0.284,0.408,2018
Iceland,Western Europe,7.495,1.343,1.644,0.914,0.677,0.353,0.138,2018
Switzerland,Western Europe,7.487,1.42,1.549,0.927,0.66,0.256,0.357,2018
Netherlands,Western Europe,7.441,1.361,1.488,0.878,0.638,0.333,0.295,2018
Canada,North America and ANZ,7.328,1.33,1.532,0.896,0.653,0.321,0.291,2018
New Zealand,North America and ANZ,7.324,1.268,1.601,0.876,0.669,0.365,0.389,2018
Sweden,Western Europe,7.314,1.355,1.501,0.913,0.659,0.285,0.383,2018
Australia,North America and ANZ,7.272,1.34,1.573,0.91,0.647,0.361,0.302,2018
United Kingdom,Western Europe,7.19,1.244,1.433,0.888,0.464,0.262,0.082,2018
Austria,Western Europe,7.139,1.341,1.504,0.891,0.617,0.242,0.224,2018
Costa Rica,Latin America and Caribbean,7.072,1.01,1.459,0.817,0.632,0.143,0.101,2018
Ireland,Western Europe,6.977,1.448,1.583,0.876,0.614,0.307,0.306,2018
Germany,Western Europe,6.965,1.34,1.474,0.861,0.586,0.273,0.28,2018
Belgium,Western Europe,6.927,1.324,1.483,0.894,0.583,0.188,0.24,2018
Luxembourg,Western Europe,6.91,1.576,1.52,0.896,0.632,0.196,0.321,2018
United States,North America and ANZ,6.886,1.398,1.471,0.819,0.547,0.291,0.133,2018
Israel,Middle East and North Africa,6.814,1.301,1.559,0.883,0.533,0.354,0.272,2018
United Arab Emirates,Middle East and North Africa,6.774,2.096,0.776,0.67,0.284,0.186,,2018
Czech Republic,Central and Eastern Europe,6.711,1.233,1.489,0.854,0.543,0.064,0.034,2018
Malta,Western Europe,6.627,1.27,1.525,0.884,0.645,0.376,0.142,2018
France,Western Europe,6.489,1.293,1.466,0.908,0.52,0.098,0.176,2018
Mexico,Latin America and Caribbean,6.488,1.038,1.252,0.761,0.479,0.069,0.095,2018
Chile,Latin America and Caribbean,6.476,1.131,1.331,0.808,0.431,0.197,0.061,2018
Taiwan Province of China,East Asia,6.441,1.365,1.436,0.857,0.418,0.151,0.078,2018
Panama,Latin America and Caribbean,6.43,1.112,1.438,0.759,0.597,0.125,0.063,2018
Brazil,Latin America and Caribbean,6.419,0.986,1.474,0.675,0.493,0.11,0.088,2018
Argentina,Latin America and Caribbean,6.388,1.073,1.468,0.744,0.57,0.062,0.054,2018
Guatemala,Latin America and Caribbean,6.382,0.781,1.268,0.608,0.604,0.179,0.071,2018
Uruguay,Latin America and Caribbean,6.379,1.093,1.459,0.771,0.625,0.13,0.155,2018
Qatar,Middle East and North Africa,6.374,1.649,1.303,0.748,0.654,0.256,0.171,2018
Saudi Arabia,Middle East and North Africa,6.371,1.379,1.331,0.633,0.509,0.098,0.127,2018
Singapore,Southeast Asia,6.343,1.529,1.451,1.008,0.631,0.261,0.457,2018
Malaysia,Southeast Asia,6.322,1.161,1.258,0.669,0.356,0.311,0.059,2018
Spain,Western Europe,6.31,1.251,1.538,0.965,0.449,0.142,0.074,2018
Colombia,Latin America and Caribbean,6.26,0.96,1.439,0.635,0.531,0.099,0.039,2018
Trinidad and Tobago,Latin America and Caribbean,6.192,1.223,1.492,0.564,0.575,0.171,0.019,2018
Slovakia,Central and Eastern Europe,6.173,1.21,1.537,0.776,0.354,0.118,0.014,2018
El Salvador,Latin America and Caribbean,6.167,0.806,1.231,0.639,0.461,0.065,0.082,2018
Nicaragua,Latin America and Caribbean,6.141,0.668,1.319,0.7,0.527,0.208,0.128,2018
Poland,Central and Eastern Europe,6.123,1.176,1.448,0.781,0.546,0.108,0.064,2018
Bahrain,Middle East and North Africa,6.105,1.338,1.366,0.698,0.594,0.243,0.123,2018
Uzbekistan,Commonwealth of Independent States,6.096,0.719,1.584,0.605,0.724,0.328,0.259,2018
Kuwait,Middle East and North Africa,6.083,1.474,1.301,0.675,0.554,0.167,0.106,2018
Thailand,Southeast Asia,6.072,1.016,1.417,0.707,0.637,0.364,0.029,2018
Italy,Western Europe,6,1.264,1.501,0.946,0.281,0.137,0.028,2018
Ecuador,Latin America and Caribbean,5.973,0.889,1.33,0.736,0.556,0.114,0.12,2018
Lithuania,Central and Eastern Europe,5.952,1.197,1.527,0.716,0.35,0.026,0.006,2018
Slovenia,Central and Eastern Europe,5.948,1.219,1.506,0.856,0.633,0.16,0.051,2018
Romania,Central and Eastern Europe,5.945,1.116,1.219,0.726,0.528,0.088,0.001,2018
Latvia,Central and Eastern Europe,5.933,1.148,1.454,0.671,0.363,0.092,0.066,2018
Japan,East Asia,5.915,1.294,1.462,0.988,0.553,0.079,0.15,2018
Mauritius,Sub-Saharan Africa,5.891,1.09,1.387,0.684,0.584,0.245,0.05,2018
Jamaica,Latin America and Caribbean,5.89,0.819,1.493,0.693,0.575,0.096,0.031,2018
South Korea,East Asia,5.875,1.266,1.204,0.955,0.244,0.175,0.051,2018
Cyprus,Western Europe,5.835,1.229,1.211,0.909,0.495,0.179,0.154,2018
Russia,Central and Eastern Europe,5.81,1.151,1.479,0.599,0.399,0.065,0.025,2018
Kazakhstan,Commonwealth of Independent States,5.79,1.143,1.516,0.631,0.454,0.148,0.121,2018
Cyprus,Western Europe,5.762,1.229,1.191,0.909,0.423,0.202,0.035,2018
Bolivia,Latin America and Caribbean,5.752,0.751,1.223,0.508,0.606,0.141,0.054,2018
Estonia,Central and Eastern Europe,5.739,1.2,1.532,0.737,0.553,0.086,0.174,2018
Paraguay,Latin America and Caribbean,5.681,0.835,1.522,0.615,0.541,0.162,0.074,2018
Peru,Latin America and Caribbean,5.663,0.934,1.249,0.674,0.53,0.092,0.034,2018
Kosovo,Central and Eastern Europe,5.662,0.855,1.23,0.578,0.448,0.274,0.023,2018
Moldova,Central and Eastern Europe,5.64,0.657,1.301,0.62,0.232,0.171,0,2018
Turkmenistan,Commonwealth of Independent States,5.636,1.016,1.533,0.517,0.417,0.199,0.037,2018
Hungary,Central and Eastern Europe,5.62,1.171,1.401,0.732,0.259,0.061,0.022,2018
Libya,Middle East and North Africa,5.566,0.985,1.35,0.553,0.496,0.116,0.148,2018
Philippines,Southeast Asia,5.524,0.775,1.312,0.513,0.643,0.12,0.105,2018
Honduras,Latin America and Caribbean,5.504,0.62,1.205,0.622,0.459,0.197,0.074,2018
Belarus,Central and Eastern Europe,5.483,1.039,1.498,0.7,0.307,0.101,0.154,2018
Turkey,Middle East and North Africa,5.483,1.148,1.38,0.686,0.324,0.106,0.109,2018
Pakistan,South Asia,5.472,0.652,0.81,0.424,0.334,0.216,0.113,2018
Hong Kong S.A.R. of China,East Asia,5.43,1.405,1.29,1.03,0.524,0.246,0.291,2018
Portugal,Western Europe,5.41,1.188,1.429,0.884,0.562,0.055,0.017,2018
Serbia,Central and Eastern Europe,5.398,0.975,1.369,0.685,0.288,0.134,0.043,2018
Greece,Western Europe,5.358,1.154,1.202,0.879,0.131,0,0.044,2018
Lebanon,Middle East and North Africa,5.358,0.965,1.179,0.785,0.503,0.214,0.136,2018
Montenegro,Central and Eastern Europe,5.347,1.017,1.279,0.729,0.259,0.111,0.081,2018
Croatia,Central and Eastern Europe,5.321,1.115,1.161,0.737,0.38,0.12,0.039,2018
Dominican Republic,Latin America and Caribbean,5.302,0.982,1.441,0.614,0.578,0.12,0.106,2018
Algeria,Middle East and North Africa,5.295,0.979,1.154,0.687,0.077,0.055,0.135,2018
Morocco,Middle East and North Africa,5.254,0.779,0.797,0.669,0.46,0.026,0.074,2018
China,East Asia,5.246,0.989,1.142,0.799,0.597,0.029,0.103,2018
Azerbaijan,Central and Eastern Europe,5.201,1.024,1.161,0.603,0.43,0.031,0.176,2018
Tajikistan,Commonwealth of Independent States,5.199,0.474,1.166,0.598,0.292,0.187,0.034,2018
North Macedonia,Central and Eastern Europe,5.185,0.959,1.239,0.691,0.394,0.173,0.052,2018
Jordan,Middle East and North Africa,5.161,0.822,1.265,0.645,0.468,0.13,0.134,2018
Nigeria,Sub-Saharan Africa,5.155,0.689,1.172,0.048,0.462,0.201,0.032,2018
Kyrgyzstan,Commonwealth of Independent States,5.131,0.53,1.416,0.594,0.54,0.281,0.035,2018
Bosnia and Herzegovina,Central and Eastern Europe,5.129,0.915,1.078,0.758,0.28,0.216,0,2018
Mongolia,East Asia,5.125,0.914,1.517,0.575,0.395,0.253,0.032,2018
Vietnam,Southeast Asia,5.103,0.715,1.365,0.702,0.618,0.177,0.079,2018
Indonesia,Southeast Asia,5.093,0.899,1.215,0.522,0.538,0.484,0.018,2018
Bhutan,South Asia,5.082,0.796,1.335,0.527,0.541,0.364,0.171,2018
Somalia,Sub-Saharan Africa,4.982,0,0.712,0.115,0.674,0.238,0.282,2018
Cameroon,Sub-Saharan Africa,4.975,0.535,0.891,0.182,0.454,0.183,0.043,2018
Bulgaria,Central and Eastern Europe,4.933,1.054,1.515,0.712,0.359,0.064,0.009,2018
Nepal,South Asia,4.88,0.425,1.228,0.539,0.526,0.302,0.078,2018
Venezuela,Latin America and Caribbean,4.806,0.996,1.469,0.657,0.133,0.056,0.052,2018
Gabon,Sub-Saharan Africa,4.758,1.036,1.164,0.404,0.356,0.032,0.052,2018
Palestinian Territories,Middle East and North Africa,4.743,0.642,1.217,0.602,0.266,0.086,0.076,2018
South Africa,Sub-Saharan Africa,4.724,0.94,1.41,0.33,0.516,0.103,0.056,2018
Iran,Middle East and North Africa,4.707,1.059,0.771,0.691,0.459,0.282,0.129,2018
Ivory Coast,Sub-Saharan Africa,4.671,0.541,0.872,0.08,0.467,0.146,0.103,2018
Ghana,Sub-Saharan Africa,4.657,0.592,0.896,0.337,0.499,0.212,0.029,2018
Senegal,Sub-Saharan Africa,4.631,0.429,1.117,0.433,0.406,0.138,0.082,2018
Laos,Southeast Asia,4.623,0.72,1.034,0.441,0.626,0.23,0.174,2018
Tunisia,Middle East and North Africa,4.592,0.9,0.906,0.69,0.271,0.04,0.063,2018
Albania,Central and Eastern Europe,4.586,0.916,0.817,0.79,0.419,0.149,0.032,2018
Sierra Leone,Sub-Saharan Africa,4.571,0.256,0.813,0,0.355,0.238,0.053,2018
Congo (Brazzaville),Sub-Saharan Africa,4.559,0.682,0.811,0.343,0.514,0.091,0.077,2018
Bangladesh,South Asia,4.5,0.532,0.85,0.579,0.58,0.153,0.144,2018
Sri Lanka,South Asia,4.471,0.918,1.314,0.672,0.585,0.307,0.05,2018
Iraq,Middle East and North Africa,4.456,1.01,0.971,0.536,0.304,0.148,0.095,2018
Mali,Sub-Saharan Africa,4.447,0.37,1.233,0.152,0.367,0.139,0.056,2018
Namibia,Sub-Saharan Africa,4.441,0.874,1.281,0.365,0.519,0.051,0.064,2018
Cambodia,Southeast Asia,4.433,0.549,1.088,0.457,0.696,0.256,0.065,2018
Burkina Faso,Sub-Saharan Africa,4.424,0.314,1.097,0.254,0.312,0.175,0.128,2018
Egypt,Middle East and North Africa,4.419,0.885,1.025,0.553,0.312,0.092,0.107,2018
Mozambique,Sub-Saharan Africa,4.417,0.198,0.902,0.173,0.531,0.206,0.158,2018
Kenya,Sub-Saharan Africa,4.41,0.493,1.048,0.454,0.504,0.352,0.055,2018
Zambia,Sub-Saharan Africa,4.377,0.562,1.047,0.295,0.503,0.221,0.082,2018
Mauritania,Sub-Saharan Africa,4.356,0.557,1.245,0.292,0.129,0.134,0.093,2018
Ethiopia,Sub-Saharan Africa,4.35,0.308,0.95,0.391,0.452,0.22,0.146,2018
Georgia,Central and Eastern Europe,4.34,0.853,0.592,0.643,0.375,0.038,0.215,2018
Armenia,Central and Eastern Europe,4.321,0.816,0.99,0.666,0.26,0.077,0.028,2018
Myanmar,Southeast Asia,4.308,0.682,1.174,0.429,0.58,0.598,0.178,2018
Chad,Sub-Saharan Africa,4.301,0.358,0.907,0.053,0.189,0.181,0.06,2018
Congo (Kinshasa),Sub-Saharan Africa,4.245,0.069,1.136,0.204,0.312,0.197,0.052,2018
India,South Asia,4.19,0.721,0.747,0.485,0.539,0.172,0.093,2018
Niger,Sub-Saharan Africa,4.166,0.131,0.867,0.221,0.39,0.175,0.099,2018
Uganda,Sub-Saharan Africa,4.161,0.322,1.09,0.237,0.45,0.259,0.061,2018
Benin,Sub-Saharan Africa,4.141,0.378,0.372,0.24,0.44,0.163,0.067,2018
Ukraine,Central and Eastern Europe,4.103,0.793,1.413,0.609,0.163,0.187,0.011,2018
Togo,Sub-Saharan Africa,3.999,0.259,0.474,0.253,0.434,0.158,0.101,2018
Guinea,Sub-Saharan Africa,3.964,0.344,0.792,0.211,0.394,0.185,0.094,2018
Lesotho,Sub-Saharan Africa,3.808,0.472,1.215,0.079,0.423,0.116,0.112,2018
Madagascar,Sub-Saharan Africa,3.774,0.262,0.908,0.402,0.221,0.155,0.049,2018
Zimbabwe,Sub-Saharan Africa,3.692,0.357,1.094,0.248,0.406,0.132,0.099,2018
Afghanistan,South Asia,3.632,0.332,0.537,0.255,0.085,0.191,0.036,2018
Botswana,Sub-Saharan Africa,3.59,1.017,1.174,0.417,0.557,0.042,0.092,2018
Malawi,Sub-Saharan Africa,3.587,0.186,0.541,0.306,0.531,0.21,0.08,2018
Haiti,Latin America and Caribbean,3.582,0.315,0.714,0.289,0.025,0.392,0.104,2018
Liberia,Sub-Saharan Africa,3.495,0.076,0.858,0.267,0.419,0.206,0.03,2018
Syria,Middle East and North Africa,3.462,0.689,0.382,0.539,0.088,0.376,0.144,2018
Rwanda,Sub-Saharan Africa,3.408,0.332,0.896,0.4,0.636,0.2,0.444,2018
Yemen,Middle East and North Africa,3.355,0.442,1.073,0.343,0.244,0.083,0.064,2018
Tanzania,Sub-Saharan Africa,3.303,0.455,0.991,0.381,0.481,0.27,0.097,2018
South Sudan,Sub-Saharan Africa,3.254,0.337,0.608,0.177,0.112,0.224,0.106,2018
Central African Republic,Sub-Saharan Africa,3.083,0.024,0,0.01,0.305,0.218,0.038,2018
Burundi,Sub-Saharan Africa,2.905,0.091,0.627,0.145,0.065,0.149,0.076,2018
Finland,Western Europe,7.769,1.34,1.587,0.986,0.596,0.153,0.393,2019
Denmark,Western Europe,7.6,1.383,1.573,0.996,0.592,0.252,0.41,2019
Norway,Western Europe,7.554,1.488,1.582,1.028,0.603,0.271,0.341,2019
Iceland,Western Europe,7.494,1.38,1.624,1.026,0.591,0.354,0.118,2019
Netherlands,Western Europe,7.488,1.396,1.522,0.999,0.557,0.322,0.298,2019
Switzerland,Western Europe,7.48,1.452,1.526,1.052,0.572,0.263,0.343,2019
Sweden,Western Europe,7.343,1.387,1.487,1.009,0.574,0.267,0.373,2019
New Zealand,North America and ANZ,7.307,1.303,1.557,1.026,0.585,0.33,0.38,2019
Canada,North America and ANZ,7.278,1.365,1.505,1.039,0.584,0.285,0.308,2019
Austria,Western Europe,7.246,1.376,1.475,1.016,0.532,0.244,0.226,2019
Australia,North America and ANZ,7.228,1.372,1.548,1.036,0.557,0.332,0.29,2019
Costa Rica,Latin America and Caribbean,7.167,1.034,1.441,0.963,0.558,0.144,0.093,2019
Israel,Middle East and North Africa,7.139,1.276,1.455,1.029,0.371,0.261,0.082,2019
Luxembourg,Western Europe,7.09,1.609,1.479,1.012,0.526,0.194,0.316,2019
United Kingdom,Western Europe,7.054,1.333,1.538,0.996,0.45,0.348,0.278,2019
Ireland,Western Europe,7.021,1.499,1.553,0.999,0.516,0.298,0.31,2019
Germany,Western Europe,6.985,1.373,1.454,0.987,0.495,0.261,0.265,2019
Belgium,Western Europe,6.923,1.356,1.504,0.986,0.473,0.16,0.21,2019
United States,North America and ANZ,6.892,1.433,1.457,0.874,0.454,0.28,0.128,2019
Czech Republic,Central and Eastern Europe,6.852,1.269,1.487,0.92,0.457,0.046,0.036,2019
United Arab Emirates,Middle East and North Africa,6.825,1.503,1.31,0.825,0.598,0.262,0.182,2019
Malta,Western Europe,6.726,1.3,1.52,0.999,0.564,0.375,0.151,2019
Mexico,Latin America and Caribbean,6.595,1.07,1.323,0.861,0.433,0.074,0.073,2019
France,Western Europe,6.592,1.324,1.472,1.045,0.436,0.111,0.183,2019
Taiwan Province of China,East Asia,6.446,1.368,1.43,0.914,0.351,0.242,0.097,2019
Chile,Latin America and Caribbean,6.444,1.159,1.369,0.92,0.357,0.187,0.056,2019
Guatemala,Latin America and Caribbean,6.436,0.8,1.269,0.746,0.535,0.175,0.078,2019
Saudi Arabia,Middle East and North Africa,6.375,1.403,1.357,0.795,0.439,0.08,0.132,2019
Qatar,Middle East and North Africa,6.374,1.684,1.313,0.871,0.555,0.22,0.167,2019
Spain,Western Europe,6.354,1.286,1.484,1.062,0.362,0.153,0.079,2019
Panama,Latin America and Caribbean,6.321,1.149,1.442,0.91,0.516,0.109,0.054,2019
Brazil,Latin America and Caribbean,6.3,1.004,1.439,0.802,0.39,0.099,0.086,2019
Uruguay,Latin America and Caribbean,6.293,1.124,1.465,0.891,0.523,0.127,0.15,2019
Singapore,Southeast Asia,6.262,1.572,1.463,1.141,0.556,0.271,0.453,2019
El Salvador,Latin America and Caribbean,6.253,0.794,1.242,0.789,0.43,0.093,0.074,2019
Italy,Western Europe,6.223,1.294,1.488,1.039,0.231,0.158,0.03,2019
Bahrain,Middle East and North Africa,6.199,1.362,1.368,0.871,0.536,0.255,0.11,2019
Slovakia,Central and Eastern Europe,6.198,1.246,1.504,0.881,0.334,0.121,0.014,2019
Trinidad and Tobago,Latin America and Caribbean,6.192,1.231,1.477,0.713,0.489,0.185,0.016,2019
Poland,Central and Eastern Europe,6.182,1.206,1.438,0.884,0.483,0.117,0.05,2019
Uzbekistan,Commonwealth of Independent States,6.174,0.745,1.529,0.756,0.631,0.322,0.24,2019
Lithuania,Central and Eastern Europe,6.149,1.238,1.515,0.818,0.291,0.043,0.042,2019
Colombia,Latin America and Caribbean,6.125,0.985,1.41,0.841,0.47,0.099,0.034,2019
Slovenia,Central and Eastern Europe,6.118,1.258,1.523,0.953,0.564,0.144,0.057,2019
Nicaragua,Latin America and Caribbean,6.105,0.694,1.325,0.835,0.435,0.2,0.127,2019
Kosovo,Central and Eastern Europe,6.1,0.882,1.232,0.758,0.489,0.262,0.006,2019
Argentina,Latin America and Caribbean,6.086,1.092,1.432,0.881,0.471,0.066,0.05,2019
Romania,Central and Eastern Europe,6.07,1.162,1.232,0.825,0.462,0.083,0.005,2019
Cyprus,Western Europe,6.046,1.263,1.223,1.042,0.406,0.19,0.041,2019
Ecuador,Latin America and Caribbean,6.028,0.912,1.312,0.868,0.498,0.126,0.087,2019
Kuwait,Middle East and North Africa,6.021,1.5,1.319,0.808,0.493,0.142,0.097,2019
Thailand,Southeast Asia,6.008,1.05,1.409,0.828,0.557,0.359,0.028,2019
Latvia,Central and Eastern Europe,5.94,1.187,1.465,0.812,0.264,0.075,0.064,2019
South Korea,East Asia,5.895,1.301,1.219,1.036,0.159,0.175,0.056,2019
Estonia,Central and Eastern Europe,5.893,1.237,1.528,0.874,0.495,0.103,0.161,2019
Jamaica,Latin America and Caribbean,5.89,0.831,1.478,0.831,0.49,0.107,0.028,2019
Mauritius,Sub-Saharan Africa,5.888,1.12,1.402,0.798,0.498,0.215,0.06,2019
Japan,East Asia,5.886,1.327,1.419,1.088,0.445,0.069,0.14,2019
Honduras,Latin America and Caribbean,5.86,0.642,1.236,0.828,0.507,0.246,0.078,2019
Kazakhstan,Commonwealth of Independent States,5.809,1.173,1.508,0.729,0.41,0.146,0.096,2019
Bolivia,Latin America and Caribbean,5.779,0.776,1.209,0.706,0.511,0.137,0.064,2019
Hungary,Central and Eastern Europe,5.758,1.201,1.41,0.828,0.199,0.081,0.02,2019
Paraguay,Latin America and Caribbean,5.743,0.855,1.475,0.777,0.514,0.184,0.08,2019
Cyprus,Western Europe,5.718,1.263,1.252,1.042,0.417,0.191,0.162,2019
Peru,Latin America and Caribbean,5.697,0.96,1.274,0.854,0.455,0.083,0.027,2019
Portugal,Western Europe,5.693,1.221,1.431,0.999,0.508,0.047,0.025,2019
Pakistan,South Asia,5.653,0.677,0.886,0.535,0.313,0.22,0.098,2019
Russia,Central and Eastern Europe,5.648,1.183,1.452,0.726,0.334,0.082,0.031,2019
Philippines,Southeast Asia,5.631,0.807,1.293,0.657,0.558,0.117,0.107,2019
Serbia,Central and Eastern Europe,5.603,1.004,1.383,0.854,0.282,0.137,0.039,2019
Moldova,Central and Eastern Europe,5.529,0.685,1.328,0.739,0.245,0.181,0,2019
Libya,Middle East and North Africa,5.525,1.044,1.303,0.673,0.416,0.133,0.152,2019
Montenegro,Central and Eastern Europe,5.523,1.051,1.361,0.871,0.197,0.142,0.08,2019
Tajikistan,Commonwealth of Independent States,5.467,0.493,1.098,0.718,0.389,0.23,0.144,2019
Croatia,Central and Eastern Europe,5.432,1.155,1.266,0.914,0.296,0.119,0.022,2019
Hong Kong S.A.R. of China,East Asia,5.43,1.438,1.277,1.122,0.44,0.258,0.287,2019
Dominican Republic,Latin America and Caribbean,5.425,1.015,1.401,0.779,0.497,0.113,0.101,2019
Bosnia and Herzegovina,Central and Eastern Europe,5.386,0.945,1.212,0.845,0.212,0.263,0.006,2019
Turkey,Middle East and North Africa,5.373,1.183,1.36,0.808,0.195,0.083,0.106,2019
Malaysia,Southeast Asia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,2019
Belarus,Central and Eastern Europe,5.323,1.067,1.465,0.789,0.235,0.094,0.142,2019
Greece,Western Europe,5.287,1.181,1.156,0.999,0.067,0,0.034,2019
Mongolia,East Asia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,2019
North Macedonia,Central and Eastern Europe,5.274,0.983,1.294,0.838,0.345,0.185,0.034,2019
Nigeria,Sub-Saharan Africa,5.265,0.696,1.111,0.245,0.426,0.215,0.041,2019
Kyrgyzstan,Commonwealth of Independent States,5.261,0.551,1.438,0.723,0.508,0.3,0.023,2019
Turkmenistan,Commonwealth of Independent States,5.247,1.052,1.538,0.657,0.394,0.244,0.028,2019
Algeria,Middle East and North Africa,5.211,1.002,1.16,0.785,0.086,0.073,0.114,2019
Morocco,Middle East and North Africa,5.208,0.801,0.782,0.782,0.418,0.036,0.076,2019
Azerbaijan,Central and Eastern Europe,5.208,1.043,1.147,0.769,0.351,0.035,0.182,2019
Lebanon,Middle East and North Africa,5.197,0.987,1.224,0.815,0.216,0.166,0.027,2019
Indonesia,Southeast Asia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,2019
China,East Asia,5.191,1.029,1.125,0.893,0.521,0.058,0.1,2019
Vietnam,Southeast Asia,5.175,0.741,1.346,0.851,0.543,0.147,0.073,2019
Bhutan,South Asia,5.082,0.813,1.321,0.604,0.457,0.37,0.167,2019
Cameroon,Sub-Saharan Africa,5.044,0.549,0.91,0.331,0.381,0.187,0.037,2019
Bulgaria,Central and Eastern Europe,5.011,1.092,1.513,0.815,0.311,0.081,0.004,2019
Ghana,Sub-Saharan Africa,4.996,0.611,0.868,0.486,0.381,0.245,0.04,2019
Ivory Coast,Sub-Saharan Africa,4.944,0.569,0.808,0.232,0.352,0.154,0.09,2019
Nepal,South Asia,4.913,0.446,1.226,0.677,0.439,0.285,0.089,2019
Jordan,Middle East and North Africa,4.906,0.837,1.225,0.815,0.383,0.11,0.13,2019
Benin,Sub-Saharan Africa,4.883,0.393,0.437,0.397,0.349,0.175,0.082,2019
Congo (Brazzaville),Sub-Saharan Africa,4.812,0.673,0.799,0.508,0.372,0.105,0.093,2019
Gabon,Sub-Saharan Africa,4.799,1.057,1.183,0.571,0.295,0.043,0.055,2019
Laos,Southeast Asia,4.796,0.764,1.03,0.551,0.547,0.266,0.164,2019
South Africa,Sub-Saharan Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,2019
Albania,Central and Eastern Europe,4.719,0.947,0.848,0.874,0.383,0.178,0.027,2019
Venezuela,Latin America and Caribbean,4.707,0.96,1.427,0.805,0.154,0.064,0.047,2019
Cambodia,Southeast Asia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,2019
Palestinian Territories,Middle East and North Africa,4.696,0.657,1.247,0.672,0.225,0.103,0.066,2019
Senegal,Sub-Saharan Africa,4.681,0.45,1.134,0.571,0.292,0.153,0.072,2019
Somalia,Sub-Saharan Africa,4.668,0,0.698,0.268,0.559,0.243,0.27,2019
Namibia,Sub-Saharan Africa,4.639,0.879,1.313,0.477,0.401,0.07,0.056,2019
Niger,Sub-Saharan Africa,4.628,0.138,0.774,0.366,0.318,0.188,0.102,2019
Burkina Faso,Sub-Saharan Africa,4.587,0.331,1.056,0.38,0.255,0.177,0.113,2019
Armenia,Central and Eastern Europe,4.559,0.85,1.055,0.815,0.283,0.095,0.064,2019
Iran,Middle East and North Africa,4.548,1.1,0.842,0.785,0.305,0.27,0.125,2019
Guinea,Sub-Saharan Africa,4.534,0.38,0.829,0.375,0.332,0.207,0.086,2019
Georgia,Central and Eastern Europe,4.519,0.886,0.666,0.752,0.346,0.043,0.164,2019
Gambia,Sub-Saharan Africa,4.516,0.308,0.939,0.428,0.382,0.269,0.167,2019
Kenya,Sub-Saharan Africa,4.509,0.512,0.983,0.581,0.431,0.372,0.053,2019
Mauritania,Sub-Saharan Africa,4.49,0.57,1.167,0.489,0.066,0.106,0.088,2019
Mozambique,Sub-Saharan Africa,4.466,0.204,0.986,0.39,0.494,0.197,0.138,2019
