country,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,year
Ireland,Western Europe,7.085,1.644,1.092,0.753,0.606,0.238,0.367,2021
Costa Rica,Latin America and Caribbean,7.069,1.134,0.966,0.722,0.673,0.105,0.083,2021
United Kingdom,Western Europe,7.064,1.423,1.062,0.757,0.58,0.34,0.306,2021
Czech Republic,Central and Eastern Europe,6.965,1.37,1.09,0.703,0.58,0.052,0.046,2021
United States,North America and ANZ,6.951,1.533,1.03,0.621,0.554,0.252,0.154,2021
Belgium,Western Europe,6.834,1.463,0.998,0.747,0.489,0.088,0.187,2021
France,Western Europe,6.69,1.421,1.081,0.804,0.536,0.092,0.235,2021
Bahrain,Middle East and North Africa,6.647,1.409,0.899,0.662,0.661,0.246,0.139,2021
Malta,Western Europe,6.602,1.411,1.055,0.747,0.664,0.275,0.183,2021
Taiwan Province of China,East Asia,6.584,1.48,0.982,0.665,0.49,0.142,0.139,2021
United Arab Emirates,Middle East and North Africa,6.561,1.555,0.86,0.594,0.67,0.236,0.223,2021
Saudi Arabia,Middle East and North Africa,6.494,1.435,0.964,0.571,0.603,0.09,0.163,2021
Spain,Western Europe,6.491,1.375,1.057,0.826,0.462,0.135,0.124,2021
Italy,Western Europe,6.483,1.393,0.94,0.798,0.379,0.133,0.047,2021
Slovenia,Central and Eastern Europe,6.461,1.36,1.093,0.722,0.69,0.122,0.085,2021
Guatemala,Latin America and Caribbean,6.435,0.845,0.79,0.519,0.638,0.163,0.105,2021
Uruguay,Latin America and Caribbean,6.431,1.164,1.042,0.649,0.625,0.128,0.223,2021
Singapore,Southeast Asia,6.377,1.695,1.019,0.897,0.664,0.176,0.547,2021
Kosovo,Central and Eastern Europe,6.372,0.937,0.807,0.483,0.593,0.356,0.014,2021
Slovakia,Central and Eastern Europe,6.331,1.304,1.066,0.653,0.468,0.107,0.018,2021
Brazil,Latin America and Caribbean,6.33,1.028,0.944,0.571,0.514,0.142,0.117,2021
Mexico,Latin America and Caribbean,6.317,1.126,0.83,0.634,0.585,0.092,0.089,2021
Jamaica,Latin America and Caribbean,6.309,0.891,0.932,0.599,0.618,0.099,0.035,2021
Lithuania,Central and Eastern Europe,6.255,1.35,1.065,0.612,0.476,0.056,0.073,2021
Cyprus,Western Europe,6.223,1.377,0.765,0.801,0.464,0.178,0.061,2021
Estonia,Central and Eastern Europe,6.189,1.344,1.079,0.64,0.641,0.119,0.263,2021
Panama,Latin America and Caribbean,6.18,1.298,0.976,0.667,0.596,0.079,0.053,2021
Uzbekistan,Commonwealth of Independent States,6.179,0.769,1.027,0.528,0.716,0.391,0.271,2021
Chile,Latin America and Caribbean,6.172,1.2,0.946,0.678,0.438,0.159,0.07,2021
Poland,Central and Eastern Europe,6.166,1.309,0.982,0.668,0.558,0.08,0.13,2021
Kazakhstan,Commonwealth of Independent States,6.152,1.23,1.103,0.527,0.573,0.143,0.132,2021
Romania,Central and Eastern Europe,6.14,1.275,0.832,0.595,0.564,0.045,0.001,2021
Kuwait,Middle East and North Africa,6.106,1.461,0.857,0.58,0.591,0.12,0.13,2021
Serbia,Central and Eastern Europe,6.078,1.101,0.924,0.634,0.482,0.189,0.066,2021
El Salvador,Latin America and Caribbean,6.061,0.845,0.675,0.565,0.615,0.116,0.16,2021
Mauritius,Sub-Saharan Africa,6.049,1.178,0.996,0.574,0.59,0.153,0.096,2021
Latvia,Central and Eastern Europe,6.032,1.285,1.047,0.587,0.405,0.082,0.089,2021
Colombia,Latin America and Caribbean,6.012,1.021,0.866,0.615,0.554,0.1,0.063,2021
Hungary,Central and Eastern Europe,5.992,1.301,1.083,0.615,0.454,0.067,0.04,2021
Thailand,Southeast Asia,5.985,1.107,0.957,0.596,0.611,0.375,0.028,2021
Nicaragua,Latin America and Caribbean,5.972,0.693,0.904,0.604,0.553,0.201,0.176,2021
Japan,East Asia,5.94,1.389,0.949,0.838,0.504,0.02,0.192,2021
Argentina,Latin America and Caribbean,5.929,1.162,0.98,0.646,0.544,0.069,0.067,2021
Portugal,Western Europe,5.929,1.323,0.939,0.76,0.621,0.029,0.033,2021
Honduras,Latin America and Caribbean,5.919,0.703,0.787,0.593,0.578,0.241,0.083,2021
Croatia,Central and Eastern Europe,5.882,1.251,1.039,0.703,0.453,0.111,0,2021
Philippines,Southeast Asia,5.88,0.853,0.828,0.426,0.651,0.125,0.126,2021
South Korea,East Asia,5.845,1.403,0.758,0.801,0.353,0.134,0.135,2021
Peru,Latin America and Caribbean,5.84,0.986,0.833,0.623,0.536,0.087,0.031,2021
Bosnia and Herzegovina,Central and Eastern Europe,5.813,1.032,0.919,0.618,0.395,0.261,0.005,2021
Moldova,Central and Eastern Europe,5.766,0.985,0.888,0.542,0.536,0.137,0.013,2021
Ecuador,Latin America and Caribbean,5.764,0.935,0.806,0.64,0.56,0.107,0.062,2021
Kyrgyzstan,Commonwealth of Independent States,5.744,0.665,0.971,0.501,0.673,0.266,0.02,2021
Greece,Western Europe,5.723,1.273,0.811,0.76,0.243,0,0.074,2021
Bolivia,Latin America and Caribbean,5.716,0.842,0.782,0.486,0.6,0.138,0.064,2021
Mongolia,East Asia,5.677,0.966,1.065,0.442,0.397,0.263,0.053,2021
Paraguay,Latin America and Caribbean,5.653,0.983,0.97,0.549,0.602,0.206,0.037,2021
Montenegro,Central and Eastern Europe,5.581,1.155,0.891,0.637,0.397,0.166,0.081,2021
Dominican Republic,Latin America and Caribbean,5.545,1.106,0.879,0.555,0.581,0.101,0.144,2021
North Cyprus,Western Europe,5.536,1.377,0.806,0.801,0.503,0.196,0.2,2021
Belarus,Central and Eastern Europe,5.534,1.124,1.007,0.56,0.326,0.07,0.199,2021
Russia,Central and Eastern Europe,5.477,1.241,0.992,0.511,0.409,0.115,0.06,2021
Hong Kong S.A.R. of China,East Asia,5.477,1.525,0.841,0.893,0.408,0.232,0.342,2021
Tajikistan,Commonwealth of Independent States,5.466,0.508,0.895,0.498,0.548,0.152,0.247,2021
Vietnam,Southeast Asia,5.411,0.817,0.873,0.616,0.679,0.124,0.091,2021
Libya,Middle East and North Africa,5.41,1.044,0.821,0.435,0.474,0.131,0.174,2021
Malaysia,Southeast Asia,5.384,1.259,0.797,0.587,0.624,0.27,0.064,2021
Indonesia,Southeast Asia,5.345,0.954,0.786,0.433,0.598,0.541,0.046,2021
Congo (Brazzaville),Sub-Saharan Africa,5.342,0.518,0.392,0.307,0.381,0.144,0.124,2021
China,East Asia,5.339,1.061,0.785,0.665,0.636,0.093,0.117,2021
Ivory Coast,Sub-Saharan Africa,5.306,0.669,0.409,0.052,0.438,0.177,0.092,2021
Armenia,Central and Eastern Europe,5.283,0.996,0.758,0.585,0.54,0.079,0.198,2021
Nepal,South Asia,5.269,0.519,0.702,0.496,0.488,0.287,0.135,2021
Bulgaria,Central and Eastern Europe,5.266,1.181,1.055,0.583,0.494,0.125,0.005,2021
Maldives,South Asia,5.198,1.115,1.015,0.697,0.575,0.204,0.073,2021
Azerbaijan,Central and Eastern Europe,5.171,1.025,0.841,0.541,0.526,0.043,0.276,2021
Cameroon,Sub-Saharan Africa,5.142,0.543,0.556,0.159,0.425,0.205,0.058,2021
Senegal,Sub-Saharan Africa,5.132,0.518,0.558,0.357,0.381,0.158,0.088,2021
Albania,Central and Eastern Europe,5.117,1.008,0.529,0.646,0.491,0.168,0.024,2021
North Macedonia,Central and Eastern Europe,5.101,1.068,0.772,0.535,0.45,0.212,0.022,2021
Ghana,Sub-Saharan Africa,5.088,0.68,0.595,0.287,0.517,0.268,0.058,2021
Niger,Sub-Saharan Africa,5.074,0.162,0.402,0.167,0.516,0.2,0.157,2021
Turkmenistan,Commonwealth of Independent States,5.066,1.046,1.172,0.439,0.602,0.366,0.033,2021
Gambia,Sub-Saharan Africa,5.051,0.367,0.511,0.21,0.384,0.465,0.123,2021
Benin,Sub-Saharan Africa,5.045,0.507,0.058,0.196,0.457,0.166,0.178,2021
Laos,Southeast Asia,5.03,0.808,0.598,0.33,0.643,0.268,0.179,2021
Bangladesh,South Asia,5.025,0.635,0.52,0.514,0.603,0.161,0.164,2021
Guinea,Sub-Saharan Africa,4.984,0.42,0.399,0.206,0.384,0.25,0.111,2021
South Africa,Sub-Saharan Africa,4.956,0.967,0.895,0.265,0.447,0.144,0.051,2021
Turkey,Middle East and North Africa,4.948,1.26,0.809,0.59,0.236,0.097,0.104,2021
Pakistan,South Asia,4.934,0.637,0.423,0.322,0.418,0.252,0.097,2021
Morocco,Middle East and North Africa,4.918,0.792,0.219,0.558,0.477,0.034,0.088,2021
Venezuela,Latin America and Caribbean,4.892,0.852,0.897,0.574,0.284,0.078,0.072,2021
Georgia,Central and Eastern Europe,4.891,1.03,0.47,0.498,0.488,0.032,0.181,2021
Algeria,Middle East and North Africa,4.887,0.946,0.765,0.552,0.119,0.144,0.12,2021
Ukraine,Central and Eastern Europe,4.875,0.979,0.958,0.517,0.417,0.181,0.01,2021
Iraq,Middle East and North Africa,4.854,0.91,0.638,0.381,0.302,0.153,0.041,2021
Gabon,Sub-Saharan Africa,4.852,1.037,0.707,0.362,0.424,0.058,0.064,2021
Burkina Faso,Sub-Saharan Africa,4.834,0.364,0.472,0.179,0.381,0.182,0.122,2021
Cambodia,Southeast Asia,4.83,0.603,0.68,0.426,0.702,0.21,0.061,2021
Mozambique,Sub-Saharan Africa,4.794,0.183,0.634,0.196,0.608,0.228,0.163,2021
Nigeria,Sub-Saharan Africa,4.759,0.663,0.625,0.051,0.433,0.212,0.039,2021
Mali,Sub-Saharan Africa,4.723,0.387,0.59,0.11,0.384,0.164,0.072,2021
Iran,Middle East and North Africa,4.721,1.03,0.557,0.561,0.275,0.33,0.144,2021
Uganda,Sub-Saharan Africa,4.636,0.364,0.718,0.24,0.398,0.267,0.054,2021
Liberia,Sub-Saharan Africa,4.625,0.228,0.58,0.253,0.43,0.221,0.057,2021
Kenya,Sub-Saharan Africa,4.607,0.603,0.508,0.385,0.483,0.375,0.073,2021
Tunisia,Middle East and North Africa,4.596,0.919,0.515,0.59,0.334,0.057,0.044,2021
Lebanon,Middle East and North Africa,4.584,1.045,0.868,0.595,0.175,0.14,0.026,2021
Namibia,Sub-Saharan Africa,4.574,0.882,0.801,0.262,0.411,0.091,0.059,2021
Palestinian Territories,Middle East and North Africa,4.517,0.646,0.819,0.434,0.33,0.082,0.075,2021
Myanmar,Southeast Asia,4.426,0.666,0.713,0.341,0.601,0.52,0.178,2021
Jordan,Middle East and North Africa,4.395,0.89,0.685,0.583,0.455,0.079,0.15,2021
Chad,Sub-Saharan Africa,4.355,0.255,0.353,0,0.24,0.215,0.084,2021
Sri Lanka,South Asia,4.325,0.99,0.82,0.593,0.559,0.239,0.049,2021
Swaziland,Sub-Saharan Africa,4.308,0.849,0.693,0.074,0.323,0.067,0.147,2021
Comoros,Sub-Saharan Africa,4.289,0.488,0.367,0.279,0.202,0.241,0.101,2021
Egypt,Middle East and North Africa,4.283,0.954,0.647,0.426,0.446,0.069,0.092,2021
Ethiopia,Sub-Saharan Africa,4.275,0.37,0.679,0.331,0.451,0.241,0.114,2021
Mauritania,Sub-Saharan Africa,4.227,0.666,0.749,0.273,0.218,0.119,0.133,2021
Madagascar,Sub-Saharan Africa,4.208,0.266,0.503,0.341,0.207,0.185,0.087,2021
Togo,Sub-Saharan Africa,4.107,0.254,0.239,0.203,0.289,0.209,0.107,2021
Zambia,Sub-Saharan Africa,4.073,0.528,0.552,0.231,0.487,0.227,0.074,2021
Sierra Leone,Sub-Saharan Africa,3.849,0.279,0.377,0.1,0.408,0.243,0.047,2021
India,South Asia,3.819,0.741,0.316,0.383,0.622,0.246,0.106,2021
Burundi,Sub-Saharan Africa,3.775,0,0.062,0.155,0.298,0.172,0.212,2021
Yemen,Middle East and North Africa,3.658,0.329,0.831,0.272,0.268,0.092,0.089,2021
Tanzania,Sub-Saharan Africa,3.623,0.433,0.54,0.3,0.549,0.307,0.231,2021
Haiti,Latin America and Caribbean,3.615,0.294,0.173,0.227,0.257,0.463,0.139,2021
Malawi,Sub-Saharan Africa,3.6,0.113,0.168,0.298,0.484,0.213,0.134,2021
Lesotho,Sub-Saharan Africa,3.512,0.451,0.731,0.007,0.405,0.103,0.015,2021
Botswana,Sub-Saharan Africa,3.467,1.099,0.724,0.34,0.539,0.027,0.088,2021
Rwanda,Sub-Saharan Africa,3.415,0.364,0.202,0.407,0.627,0.227,0.493,2021
Zimbabwe,Sub-Saharan Africa,3.145,0.457,0.649,0.243,0.359,0.157,0.075,2021
Afghanistan,South Asia,2.523,0.37,0,0.126,0,0.122,0.01,2021
Finland,Western Europe,7.821,1.892,1.258,0.775,0.736,0.109,0.534,2022
Denmark,Western Europe,7.636,1.953,1.243,0.777,0.719,0.188,0.532,2022
Iceland,Western Europe,7.557,1.936,1.32,0.803,0.718,0.27,0.191,2022
Switzerland,Western Europe,7.512,2.026,1.226,0.822,0.677,0.147,0.461,2022
Netherlands,Western Europe,7.415,1.945,1.206,0.787,0.651,0.271,0.419,2022
Luxembourg,Western Europe,7.404,2.209,1.155,0.79,0.7,0.12,0.388,2022
Sweden,Western Europe,7.384,1.92,1.204,0.803,0.724,0.218,0.512,2022
Norway,Western Europe,7.365,1.997,1.239,0.786,0.728,0.217,0.474,2022
Israel,Middle East and North Africa,7.364,1.826,1.221,0.818,0.568,0.155,0.143,2022
New Zealand,North America and ANZ,7.2,1.852,1.235,0.752,0.68,0.245,0.483,2022
Austria,Western Europe,7.163,1.931,1.165,0.774,0.623,0.193,0.329,2022
Australia,North America and ANZ,7.162,1.9,1.203,0.772,0.676,0.258,0.341,2022
Ireland,Western Europe,7.041,2.129,1.166,0.779,0.627,0.19,0.408,2022
Germany,Western Europe,7.034,1.924,1.088,0.776,0.585,0.163,0.358,2022
Canada,North America and ANZ,7.025,1.886,1.188,0.783,0.659,0.217,0.368,2022
United States,North America and ANZ,6.977,1.982,1.182,0.628,0.574,0.22,0.177,2022
United Kingdom,Western Europe,6.943,1.867,1.143,0.75,0.597,0.289,0.329,2022
Belgium,Western Europe,6.805,1.907,1.106,0.764,0.492,0.049,0.204,2022
France,Western Europe,6.687,1.863,1.219,0.808,0.567,0.07,0.266,2022
Bahrain,Middle East and North Africa,6.647,1.854,1.029,0.625,0.693,0.199,0.155,2022
Slovenia,Central and Eastern Europe,6.63,1.81,1.249,0.769,0.685,0.118,0.115,2022
Costa Rica,Latin America and Caribbean,6.582,1.584,1.054,0.744,0.661,0.089,0.102,2022
United Arab Emirates,Middle East and North Africa,6.576,1.998,0.98,0.633,0.702,0.204,0.25,2022
Saudi Arabia,Middle East and North Africa,6.523,1.87,1.092,0.577,0.651,0.078,0.18,2022
Taiwan Province of China,East Asia,6.512,1.897,1.095,0.733,0.542,0.075,0.168,2022
Singapore,Southeast Asia,6.48,2.149,1.127,0.851,0.672,0.163,0.587,2022
Romania,Central and Eastern Europe,6.477,1.719,1.006,0.655,0.605,0.039,0.006,2022
Spain,Western Europe,6.476,1.808,1.211,0.808,0.505,0.101,0.149,2022
Uruguay,Latin America and Caribbean,6.474,1.615,1.18,0.672,0.665,0.103,0.265,2022
Italy,Western Europe,6.467,1.834,1.052,0.801,0.412,0.085,0.059,2022
Kosovo,Central and Eastern Europe,6.455,1.362,0.949,0.569,0.599,0.309,0.035,2022
Malta,Western Europe,6.447,1.838,1.169,0.789,0.679,0.174,0.166,2022
Lithuania,Central and Eastern Europe,6.446,1.804,1.204,0.659,0.496,0.053,0.077,2022
Slovakia,Central and Eastern Europe,6.391,1.736,1.232,0.707,0.479,0.118,0.025,2022
Estonia,Central and Eastern Europe,6.341,1.793,1.232,0.728,0.689,0.123,0.333,2022
Panama,Latin America and Caribbean,6.309,1.715,1.107,0.709,0.592,0.049,0.051,2022
Brazil,Latin America and Caribbean,6.293,1.462,1.044,0.615,0.546,0.131,0.134,2022
Guatemala,Latin America and Caribbean,6.262,1.274,0.831,0.522,0.662,0.112,0.115,2022
Kazakhstan,Commonwealth of Independent States,6.234,1.668,1.22,0.611,0.584,0.134,0.157,2022
Cyprus,Western Europe,6.221,1.815,0.909,0.819,0.448,0.123,0.062,2022
Latvia,Central and Eastern Europe,6.18,1.732,1.221,0.637,0.502,0.075,0.09,2022
Serbia,Central and Eastern Europe,6.178,1.55,1.086,0.658,0.546,0.219,0.088,2022
Chile,Latin America and Caribbean,6.172,1.651,1.08,0.748,0.46,0.124,0.069,2022
Nicaragua,Latin America and Caribbean,6.165,1.105,1.029,0.617,0.617,0.168,0.212,2022
Mexico,Latin America and Caribbean,6.128,1.552,0.886,0.623,0.621,0.092,0.115,2022
Croatia,Central and Eastern Europe,6.125,1.705,1.183,0.709,0.535,0.109,0,2022
Poland,Central and Eastern Europe,6.123,1.758,1.174,0.712,0.523,0.124,0.14,2022
El Salvador,Latin America and Caribbean,6.12,1.265,0.768,0.607,0.666,0.089,0.212,2022
Kuwait,Middle East and North Africa,6.106,1.904,0.983,0.747,0.617,0.087,0.147,2022
Hungary,Central and Eastern Europe,6.086,1.748,1.233,0.668,0.485,0.078,0.064,2022
Mauritius,Sub-Saharan Africa,6.071,1.591,1.116,0.568,0.589,0.131,0.107,2022
Uzbekistan,Commonwealth of Independent States,6.063,1.219,1.092,0.6,0.716,0.283,0.24,2022
Japan,East Asia,6.039,1.835,1.089,0.866,0.537,0.007,0.218,2022
Honduras,Latin America and Caribbean,6.022,1.111,0.885,0.555,0.582,0.202,0.076,2022
Portugal,Western Europe,6.016,1.76,1.078,0.777,0.655,0.016,0.039,2022
Argentina,Latin America and Caribbean,5.967,1.592,1.102,0.662,0.555,0.081,0.085,2022
Greece,Western Europe,5.948,1.703,0.98,0.774,0.249,0.015,0.108,2022
South Korea,East Asia,5.935,1.851,0.886,0.841,0.414,0.111,0.176,2022
Philippines,Southeast Asia,5.904,1.268,0.912,0.514,0.678,0.107,0.142,2022
Thailand,Southeast Asia,5.891,1.535,1.096,0.697,0.617,0.321,0.026,2022
Moldova,Central and Eastern Europe,5.857,1.417,1.008,0.597,0.561,0.102,0.028,2022
Jamaica,Latin America and Caribbean,5.85,1.296,1.045,0.646,0.567,0.08,0.053,2022
Kyrgyzstan,Commonwealth of Independent States,5.828,1.069,1.109,0.638,0.693,0.208,0.025,2022
Belarus,Central and Eastern Europe,5.821,1.562,1.157,0.629,0.342,0.04,0.282,2022
Colombia,Latin America and Caribbean,5.781,1.452,0.929,0.72,0.545,0.087,0.077,2022
Bosnia and Herzegovina,Central and Eastern Europe,5.768,1.468,1.068,0.665,0.448,0.244,0.006,2022
Mongolia,East Asia,5.761,1.393,1.197,0.467,0.398,0.247,0.059,2022
Dominican Republic,Latin America and Caribbean,5.737,1.538,1.003,0.577,0.606,0.084,0.179,2022
Malaysia,Southeast Asia,5.711,1.689,0.938,0.62,0.654,0.213,0.126,2022
Bolivia,Latin America and Caribbean,5.6,1.256,0.88,0.555,0.627,0.112,0.064,2022
China,East Asia,5.585,1.508,0.958,0.705,0.656,0.099,0.142,2022
Paraguay,Latin America and Caribbean,5.578,1.409,1.13,0.624,0.629,0.171,0.059,2022
Peru,Latin America and Caribbean,5.559,1.397,0.865,0.735,0.545,0.09,0.037,2022
Montenegro,Central and Eastern Europe,5.547,1.573,1.023,0.659,0.46,0.135,0.077,2022
Ecuador,Latin America and Caribbean,5.533,1.352,0.879,0.708,0.565,0.08,0.083,2022
Vietnam,Southeast Asia,5.485,1.252,0.932,0.611,0.707,0.143,0.105,2022
Turkmenistan,Commonwealth of Independent States,5.474,1.484,1.319,0.516,0.649,0.314,0.032,2022
North Cyprus,Western Europe,5.467,1.815,0.888,0.819,0.523,0.13,0.213,2022
Russia,Central and Eastern Europe,5.459,1.685,1.095,0.586,0.401,0.117,0.08,2022
Hong Kong S.A.R. of China,East Asia,5.425,1.957,0.954,0.942,0.4,0.147,0.383,2022
Armenia,Central and Eastern Europe,5.399,1.434,0.82,0.668,0.558,0.054,0.21,2022
Tajikistan,Commonwealth of Independent States,5.377,0.966,1.005,0.518,0.572,0.118,0.304,2022
Nepal,South Asia,5.377,0.984,0.784,0.499,0.519,0.237,0.13,2022
Bulgaria,Central and Eastern Europe,5.371,1.625,1.163,0.64,0.563,0.123,0.021,2022
Libya,Middle East and North Africa,5.33,1.476,0.943,0.606,0.477,0.106,0.179,2022
Indonesia,Southeast Asia,5.24,1.382,0.883,0.539,0.62,0.468,0.047,2022
Ivory Coast,Sub-Saharan Africa,5.235,1.094,0.442,0.322,0.451,0.149,0.124,2022
North Macedonia,Central and Eastern Europe,5.199,1.505,0.863,0.637,0.488,0.215,0.031,2022
Albania,Central and Eastern Europe,5.199,1.439,0.646,0.719,0.511,0.138,0.028,2022
South Africa,Sub-Saharan Africa,5.194,1.425,1.088,0.361,0.442,0.089,0.046,2022
Azerbaijan,Central and Eastern Europe,5.173,1.458,1.093,0.56,0.601,0.023,0.341,2022
Gambia,Sub-Saharan Africa,5.164,0.785,0.621,0.369,0.367,0.388,0.103,2022
Bangladesh,South Asia,5.155,1.06,0.614,0.581,0.622,0.125,0.187,2022
Laos,Southeast Asia,5.14,1.239,0.654,0.479,0.679,0.197,0.184,2022
Algeria,Middle East and North Africa,5.122,1.363,0.97,0.643,0.146,0.106,0.15,2022
Liberia,Sub-Saharan Africa,5.122,0.636,0.67,0.309,0.405,0.178,0.08,2022
Ukraine,Central and Eastern Europe,5.084,1.411,1.081,0.583,0.473,0.188,0.017,2022
Congo (Brazzaville),Sub-Saharan Africa,5.075,0.95,0.405,0.355,0.431,0.13,0.146,2022
Morocco,Middle East and North Africa,5.06,1.208,0.268,0.565,0.492,0.02,0.102,2022
Mozambique,Sub-Saharan Africa,5.048,0.578,0.66,0.191,0.593,0.185,0.2,2022
Cameroon,Sub-Saharan Africa,5.048,0.968,0.672,0.317,0.397,0.152,0.074,2022
Senegal,Sub-Saharan Africa,5.046,0.933,0.53,0.447,0.494,0.143,0.081,2022
Niger,Sub-Saharan Africa,5.003,0.57,0.56,0.326,0.571,0.165,0.145,2022
Georgia,Central and Eastern Europe,4.973,1.467,0.612,0.595,0.508,0,0.208,2022
Gabon,Sub-Saharan Africa,4.958,1.459,0.738,0.396,0.343,0.032,0.099,2022
Iraq,Middle East and North Africa,4.941,1.289,0.682,0.554,0.328,0.147,0.046,2022
Venezuela,Latin America and Caribbean,4.925,0,0.968,0.578,0.283,0.225,0.082,2022
Guinea,Sub-Saharan Africa,4.891,0.848,0.566,0.275,0.334,0.214,0.116,2022
Iran,Middle East and North Africa,4.888,1.41,0.741,0.642,0.281,0.241,0.146,2022
Ghana,Sub-Saharan Africa,4.872,1.112,0.595,0.409,0.5,0.23,0.056,2022
Turkey,Middle East and North Africa,4.744,1.707,0.865,0.702,0.209,0.087,0.115,2022
Burkina Faso,Sub-Saharan Africa,4.67,0.779,0.565,0.32,0.382,0.186,0.126,2022
Cambodia,Southeast Asia,4.64,1.019,0.732,0.505,0.74,0.166,0.068,2022
Benin,Sub-Saharan Africa,4.623,0.932,0.064,0.335,0.479,0.127,0.23,2022
Comoros,Sub-Saharan Africa,4.609,0.899,0.476,0.424,0.185,0.195,0.125,2022
Uganda,Sub-Saharan Africa,4.603,0.777,0.875,0.418,0.402,0.222,0.066,2022
Nigeria,Sub-Saharan Africa,4.552,1.079,0.732,0.3,0.444,0.175,0.038,2022
Kenya,Sub-Saharan Africa,4.543,1.032,0.605,0.401,0.44,0.322,0.082,2022
Tunisia,Middle East and North Africa,4.516,1.35,0.596,0.656,0.316,0.029,0.029,2022
Pakistan,South Asia,4.516,1.049,0.413,0.374,0.448,0.181,0.112,2022
Palestinian Territories,Middle East and North Africa,4.483,1.148,0.957,0.521,0.336,0.073,0.079,2022
Mali,Sub-Saharan Africa,4.479,0.792,0.483,0.311,0.35,0.128,0.042,2022
Namibia,Sub-Saharan Africa,4.459,1.292,0.877,0.354,0.384,0.067,0.071,2022
Swaziland,Sub-Saharan Africa,4.396,1.274,0.786,0.197,0.259,0.038,0.154,2022
Myanmar,Southeast Asia,4.394,1.038,0.829,0.491,0.513,0.452,0.194,2022
Sri Lanka,South Asia,4.362,1.415,0.934,0.66,0.529,0.15,0.079,2022
Madagascar,Sub-Saharan Africa,4.339,0.67,0.645,0.378,0.202,0.143,0.154,2022
Egypt,Middle East and North Africa,4.288,1.388,0.732,0.548,0.469,0.041,0.254,2022
Chad,Sub-Saharan Africa,4.251,0.662,0.506,0.225,0.18,0.182,0.077,2022
Ethiopia,Sub-Saharan Africa,4.241,0.788,0.809,0.457,0.472,0.205,0.136,2022
Yemen,Middle East and North Africa,4.197,0.691,1.043,0.384,0.33,0.09,0.098,2022
Mauritania,Sub-Saharan Africa,4.153,1.1,0.865,0.45,0.304,0.088,0.138,2022
Jordan,Middle East and North Africa,4.152,1.324,0.724,0.675,0.476,0.058,0.2,2022
Togo,Sub-Saharan Africa,4.112,0.771,0.322,0.36,0.292,0.174,0.132,2022
India,South Asia,3.777,1.167,0.376,0.471,0.647,0.198,0.123,2022
Zambia,Sub-Saharan Africa,3.76,0.93,0.577,0.306,0.525,0.203,0.083,2022
Malawi,Sub-Saharan Africa,3.75,0.648,0.279,0.388,0.477,0.14,0.157,2022
Tanzania,Sub-Saharan Africa,3.702,0.848,0.597,0.425,0.578,0.248,0.27,2022
Sierra Leone,Sub-Saharan Africa,3.574,0.686,0.416,0.273,0.387,0.202,0.055,2022
Lesotho,Sub-Saharan Africa,3.512,0.839,0.848,0,0.419,0.076,0.018,2022
Botswana,Sub-Saharan Africa,3.471,1.503,0.815,0.28,0.571,0.012,0.102,2022
Rwanda,Sub-Saharan Africa,3.268,0.785,0.133,0.462,0.621,0.187,0.544,2022
Zimbabwe,Sub-Saharan Africa,2.995,0.947,0.69,0.27,0.329,0.106,0.105,2022
Lebanon,Middle East and North Africa,2.955,1.392,0.498,0.631,0.103,0.082,0.034,2022
Afghanistan,South Asia,2.404,0.758,0,0.289,0,0.089,0.005,2022
